student_id	species	park	observer	body_mass	landscape	vegetation	lion_presence	env_var	env_value
lv25974	Giraffe	Savanna Whisper Reserve	Obs_3	1160.408204678496	Flat	Dense	Present	distance_to_water_km	4.0619944352360955
lv25974	Giraffe	Savanna Whisper Reserve	Obs_3	1160.408204678496	Flat	Dense	Present	average_annual_rainfall_mm	592.5762821888156
lv25974	Giraffe	Savanna Whisper Reserve	Obs_3	1160.408204678496	Flat	Dense	Present	predator_density_per_sq_km	0.6602754675525984
lv25974	Giraffe	Golden Tusk Safari	Obs_1	1414.166285968478	Flat	Open	Present	distance_to_water_km	3.2772415092154485
lv25974	Giraffe	Golden Tusk Safari	Obs_1	1414.166285968478	Flat	Open	Present	average_annual_rainfall_mm	1054.5541577859497
lv25974	Giraffe	Golden Tusk Safari	Obs_1	1414.166285968478	Flat	Open	Present	predator_density_per_sq_km	1.7474653216592941
lv25974	Giraffe	Golden Tusk Safari	Obs_5	1073.7820180478766	Flat	Open	Absent	distance_to_water_km	1.7929525253452794
lv25974	Giraffe	Golden Tusk Safari	Obs_5	1073.7820180478766	Flat	Open	Absent	average_annual_rainfall_mm	1049.45226037554
lv25974	Giraffe	Golden Tusk Safari	Obs_5	1073.7820180478766	Flat	Open	Absent	predator_density_per_sq_km	NA
lv25974	Giraffe	Golden Tusk Safari	Obs_5	879.794132435862	Hilly	NA	Present	distance_to_water_km	7.009715254147137
lv25974	Giraffe	Golden Tusk Safari	Obs_5	879.794132435862	Hilly	NA	Present	average_annual_rainfall_mm	1109.2344062065188
lv25974	Giraffe	Golden Tusk Safari	Obs_5	879.794132435862	Hilly	NA	Present	predator_density_per_sq_km	0.2670210963616464
lv25974	Giraffe	Savanna Whisper Reserve	Obs_1	1047.2855328504338	Flat	Dense	Absent	distance_to_water_km	5.362909396741037
lv25974	Giraffe	Savanna Whisper Reserve	Obs_1	1047.2855328504338	Flat	Dense	Absent	average_annual_rainfall_mm	1165.6473142655673
lv25974	Giraffe	Savanna Whisper Reserve	Obs_1	1047.2855328504338	Flat	Dense	Absent	predator_density_per_sq_km	0.6327715152735438
lv25974	Giraffe	Savanna Whisper Reserve	Obs_5	1086.860080305472	Hilly	Open	Present	distance_to_water_km	2.8651481514258474
lv25974	Giraffe	Savanna Whisper Reserve	Obs_5	1086.860080305472	Hilly	Open	Present	average_annual_rainfall_mm	819.4321462044951
lv25974	Giraffe	Savanna Whisper Reserve	Obs_5	1086.860080305472	Hilly	Open	Present	predator_density_per_sq_km	1.317948542997543
lv25974	Giraffe	Golden Tusk Safari	Obs_1	1859.3179052705248	Flat	Dense	Present	distance_to_water_km	1.9536681539050864
lv25974	Giraffe	Golden Tusk Safari	Obs_1	1859.3179052705248	Flat	Dense	Present	average_annual_rainfall_mm	701.8904226703858
